alpha1,seed,model,tau,approval_rate_overall,female_n,male_n,female_fraction,male_fraction,mean_probability_female,proxy_auc,proxy_accuracy,C_m,C_f,A_m,A_f,P_m,P_f,TP_m,TP_f,N_m,N_f,FP_m,FP_f,approval_rate_m,approval_rate_f,TPR_m,TPR_f,FPR_m,FPR_f,DP,EO,data_scope,dataset_sha256,threshold_policy
0.0,0,logistic_regression,0.8,0.6591845128430495,444055,443385,0.500377490309204,0.499622509690796,0.5,0.4993239511687331,0.49904218876769135,88821,88668,58536,58462,67753,67506,46343,46329,15180,15433,8576,8672,0.6590333367109129,0.6593359498353408,0.6839992325063097,0.6862945515954137,0.5649538866930172,0.5619127842933973,0.00030261312442791954,0.003041102399619855,real_lendingclub,3eae03c28fd9d2e8a076ebeb73507e8d4d0f44d90500decdb0936e0933d1f36a,validation_balanced_accuracy_max
0.0,0,random_forest,0.8,0.6619058082472716,444055,443385,0.500377490309204,0.499622509690796,0.5,0.4993239511687331,0.49904218876769135,88821,88668,58726,58755,67753,67506,46495,46586,15180,15433,8596,8708,0.6611724704743248,0.6626404114223846,0.6862426756010804,0.6901016205966877,0.5662714097496706,0.564245448065833,0.0014679409480597982,0.0038589449956072386,real_lendingclub,3eae03c28fd9d2e8a076ebeb73507e8d4d0f44d90500decdb0936e0933d1f36a,validation_balanced_accuracy_max
0.0,1,logistic_regression,0.8,0.6591845128430495,444025,443415,0.5003436852068872,0.4996563147931128,0.5,0.5003797446711407,0.49950982601640675,88844,88645,58502,58496,67451,67808,46175,46497,15444,15169,8700,8548,0.6584800324163703,0.6598905747645101,0.6845710219270285,0.6857155497876357,0.5633255633255633,0.5635177005735381,0.0014105423481397539,0.0011445278606072584,real_lendingclub,3eae03c28fd9d2e8a076ebeb73507e8d4d0f44d90500decdb0936e0933d1f36a,validation_balanced_accuracy_max
0.0,1,random_forest,0.8,0.6619058082472716,444025,443415,0.5003436852068872,0.4996563147931128,0.5,0.5003797446711407,0.49950982601640675,88844,88645,58754,58727,67451,67808,46356,46725,15444,15169,8741,8563,0.6613164648147314,0.6624964747024649,0.6872544513795199,0.689077984898537,0.565980315980316,0.5645065594304173,0.0011800098877334797,0.0018235335190170954,real_lendingclub,3eae03c28fd9d2e8a076ebeb73507e8d4d0f44d90500decdb0936e0933d1f36a,validation_balanced_accuracy_max
0.0,2,logistic_regression,0.8,0.6591845128430495,443668,443772,0.49994140448931756,0.5000585955106824,0.5,0.5008946055125085,0.5001690255115839,88802,88687,58411,58587,67674,67585,46372,46300,15240,15373,8437,8811,0.6577667169658341,0.6606041471692582,0.6852262316399208,0.6850632536805504,0.5536089238845144,0.5731477265335329,0.002837430203424085,0.019538802649018416,real_lendingclub,3eae03c28fd9d2e8a076ebeb73507e8d4d0f44d90500decdb0936e0933d1f36a,validation_balanced_accuracy_max
0.0,2,random_forest,0.8,0.6619058082472716,443668,443772,0.49994140448931756,0.5000585955106824,0.5,0.5008946055125085,0.5001690255115839,88802,88687,58626,58855,67674,67585,46564,46517,15240,15373,8464,8840,0.6601878336073512,0.6636260105765219,0.6880633625912462,0.6882740253014722,0.5553805774278215,0.5750341507838418,0.003438176969170703,0.01965357335602025,real_lendingclub,3eae03c28fd9d2e8a076ebeb73507e8d4d0f44d90500decdb0936e0933d1f36a,validation_balanced_accuracy_max
0.0,3,logistic_regression,0.8,0.6591845128430495,443345,444095,0.4995774362210403,0.5004225637789597,0.5,0.501255340764209,0.5003267826557288,89070,88419,58697,58301,68005,67254,46604,46068,15238,15375,8571,8677,0.6589985404737847,0.6593718544656691,0.6853025512829939,0.6849852796859667,0.5624753904711904,0.5643577235772358,0.0003733139918844497,0.001882333106045353,real_lendingclub,3eae03c28fd9d2e8a076ebeb73507e8d4d0f44d90500decdb0936e0933d1f36a,validation_balanced_accuracy_max
0.0,3,random_forest,0.8,0.6619058082472716,443345,444095,0.4995774362210403,0.5004225637789597,0.5,0.501255340764209,0.5003267826557288,89070,88419,59003,58478,68005,67254,46847,46234,15238,15375,8611,8693,0.6624340406421916,0.6613736866510591,0.6888758179545622,0.6874535343622684,0.565100406877543,0.5653983739837398,0.0010603539911324678,0.0014222835922937938,real_lendingclub,3eae03c28fd9d2e8a076ebeb73507e8d4d0f44d90500decdb0936e0933d1f36a,validation_balanced_accuracy_max
0.0,4,logistic_regression,0.8,0.6591845128430495,443218,444222,0.49943432795456594,0.500565672045434,0.5,0.5020991050625303,0.5023832597133328,88795,88694,58326,58672,67703,67556,46204,46468,15309,15304,8572,8676,0.6568613097584324,0.6615103614675175,0.6824512946250535,0.687844158920007,0.5599320661049056,0.5669106116048092,0.004649051709085139,0.00697854549990351,real_lendingclub,3eae03c28fd9d2e8a076ebeb73507e8d4d0f44d90500decdb0936e0933d1f36a,validation_balanced_accuracy_max
0.0,4,random_forest,0.8,0.6619058082472716,443218,444222,0.49943432795456594,0.500565672045434,0.5,0.5020991050625303,0.5023832597133328,88795,88694,58542,58939,67703,67556,46414,46667,15309,15304,8570,8734,0.6592938791598626,0.6645207116603152,0.6855530774116361,0.690789863224584,0.5598014239989548,0.5707004704652379,0.005226832500452638,0.010899046466283036,real_lendingclub,3eae03c28fd9d2e8a076ebeb73507e8d4d0f44d90500decdb0936e0933d1f36a,validation_balanced_accuracy_max
