model,tau,approval_count,approval_rate,C_m,C_f,A_m,A_f,P_m,P_f,TP_m,TP_f,N_m,N_f,FP_m,FP_f,DP_plain,DP_encrypted,DP_reconstruction_error,EO_plain,EO_encrypted,EO_reconstruction_error,DP_raw_ckks,EO_raw_ckks,aggregate_max_abs_error,aggregate_mean_abs_error,rounding_safety_margin,runtime_seconds,records_per_second,run_id,packet_sha256,reference_fingerprint
logistic_regression,0.8,116998,0.6591845128430495,88203,89286,58170,58828,67790,67469,46309,46363,15219,15394,8607,8641,0.0006298858929396633,0.0006298858929396633,0.0,0.0042204779429118044,0.0042204779429118044,0.0,0.0006298858984409295,0.004220477964846814,0.011685585719533265,0.006216534767342334,0.48831441428046674,5273.048164576001,33.659658410169605,9459dbee9e814e4bbe18745b8bf3fead,fc5de1971041d36bc082f96564d59fa598cea18453cbcc1d841cccb68179f2b5,b9d0774f2e23db94972c73ecf1e45b7dec7a10dbfec8062de37b7f4edec87d78
random_forest,0.8,117481,0.6619058082472716,88203,89286,58824,58657,67790,67469,46867,46214,15219,15394,8706,8598,0.009959793549564666,0.009959793549564666,0.0,0.013518800643769757,0.013518800643769757,0.0,0.009959788873538211,0.013518794321547123,0.05358779855305329,0.028707849057809653,0.4464122014469467,5641.2818667200045,31.462530005294163,e9ef4b95f79c43febe040fba47b2b5dc,8b7d0421e0c6165bd1cabd3228a323bcaadf0dd22c3891613d0ecd675094834b,6c35800dec2264574345c47dc5bbf72339c7c3c1681b94b3b689818b102d252b
