alpha1,model,n_seeds,female_fraction_mean,female_fraction_std,proxy_auc_mean,proxy_auc_std,DP_mean,DP_std,DP_min,DP_max,EO_mean,EO_std,EO_min,EO_max
0.0,logistic_regression,10,0.4999143604074641,0.00041471878832597466,0.500527919151949,0.0009251481650462866,0.0018103220483215888,0.001451926789970936,0.00017171938662674524,0.004649051709085139,0.004815268479823265,0.005459485823189818,0.0011445278606072584,0.019538802649018416
0.4,logistic_regression,10,0.5021628504462273,0.00046698443453116207,0.610071232095929,0.001225803571489192,0.0022244428669756177,0.0016421555455955466,0.00036222297398724734,0.005123733609319059,0.006239149652029341,0.004558969461650129,0.001781696073862915,0.013806193976752534
0.7,logistic_regression,10,0.5039338997566032,0.00023778507082839812,0.6829758306086746,0.001017875138798552,0.0020421794060341615,0.001394504880388283,0.00034631928958406277,0.0037944264579148346,0.006947573987208344,0.0033921101151185296,0.0015717346758821193,0.012703682025445029
1.0,logistic_regression,10,0.5056754259442892,0.00016263116823584994,0.7440295042407626,0.000920609944948223,0.002975496330398575,0.0020680309550788803,0.0002994991959278659,0.005759057345830376,0.008808462658272587,0.0025385744614280785,0.004930581341787921,0.01341966340410139
1.3,logistic_regression,10,0.5072449968448571,0.00023786325861530706,0.7926552427004648,0.0006906350005789918,0.005821582051214835,0.0019834365925111637,0.0028183798090001266,0.009082145604993763,0.011070445830453756,0.0018217503456609237,0.00892931572223965,0.014622689751560891
0.0,random_forest,10,0.4999143604074641,0.00041471878832597466,0.500527919151949,0.0009251481650462866,0.0019125577123630278,0.001524873929459365,0.00011681466860924417,0.005226832500452638,0.00528245380546376,0.005703459056960871,0.0014222835922937938,0.01965357335602025
0.4,random_forest,10,0.5021628504462273,0.00046698443453116207,0.610071232095929,0.001225803571489192,0.005566381128232334,0.00216845698870823,0.0023023735399740897,0.009127098606094952,0.007389762982221782,0.0038035819914677004,0.001962601411949927,0.014598684682080143
0.7,random_forest,10,0.5039338997566032,0.00023778507082839812,0.6829758306086746,0.001017875138798552,0.009087266852695253,0.001830372891623875,0.006737257747809977,0.011954512631224046,0.012500034610737842,0.004639572778063114,0.0066082719532484235,0.019291267753516528
1.0,random_forest,10,0.5056754259442892,0.00016263116823584994,0.7440295042407626,0.000920609944948223,0.01103970117221833,0.0018729070720792875,0.008465708519911241,0.014824887456888591,0.01609852917397294,0.0055554860891429084,0.00899416528805963,0.02594284888806697
1.3,random_forest,10,0.5072449968448571,0.00023786325861530706,0.7926552427004648,0.0006906350005789918,0.011487973047085643,0.002205149256172685,0.007997943681190889,0.016404081864745623,0.01780401683903582,0.0057122323942347016,0.007911093099826072,0.027351243045783402
