model,threshold_policy,tau,selection_score_name,selection_score,validation_n,validation_approval_rate,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_roc_auc,validation_balanced_accuracy,validation_tpr,validation_fpr,test_n_all,test_n_resolved,test_approval_rate_all,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,C_m,C_f,A_m,A_f,P_m,P_f,TP_m,TP_f,N_m,N_f,FP_m,FP_f,DP_plain,EO_plain,data_scope,is_real_lendingclub
logistic_regression,validation_f1_max,0.05,f1,0.8983408828256798,82934,1.0,0.8154436057587962,0.8154436057587962,1.0,0.8983408828256798,0.5920697319640977,0.5,1.0,1.0,177489,165872,1.0,0.8154420275875374,0.8154420275875374,1.0,0.8983399251488555,0.5903445236464009,88203,89286,88203,89286,67790,67469,67790,67469,15219,15394,15219,15394,0.0,0.0,real_lendingclub,True
logistic_regression,fixed_probability_0.50,0.5,n/a_fixed,,82934,1.0,0.8154436057587962,0.8154436057587962,1.0,0.8983408828256798,0.5920697319640977,0.5,1.0,1.0,177489,165872,0.9999887316960487,0.815435998842481,0.8154409149278656,0.9999926067766285,0.8983362667286554,0.5903445236464009,88203,89286,88203,89284,67790,67469,67790,67468,15219,15394,15219,15394,2.2399928320204765e-05,1.4821621781901939e-05,real_lendingclub,True
logistic_regression,validation_balanced_accuracy_max,0.8,balanced_accuracy,0.5625988427201201,82934,0.6636361444039839,0.6409192852147491,0.8438351684290853,0.6867421777961791,0.7572269414507687,0.5920697319640977,0.5625988427201201,0.6867421777961791,0.5615444923559388,177489,165872,0.6591845128430495,0.6392700395485675,0.8430858806404657,0.68514479627973,0.7559538133363787,0.5903445236464009,88203,89286,58170,58828,67790,67469,46309,46363,15219,15394,8607,8641,0.0006298858929396633,0.0042204779429118044,real_lendingclub,True
logistic_regression,validation_youden_j,0.8,youden_j,0.12519768544024024,82934,0.6636361444039839,0.6409192852147491,0.8438351684290853,0.6867421777961791,0.7572269414507687,0.5920697319640977,0.5625988427201201,0.6867421777961791,0.5615444923559388,177489,165872,0.6591845128430495,0.6392700395485675,0.8430858806404657,0.68514479627973,0.7559538133363787,0.5903445236464009,88203,89286,58170,58828,67790,67469,46309,46363,15219,15394,8607,8641,0.0006298858929396633,0.0042204779429118044,real_lendingclub,True
random_forest,validation_f1_max,0.05,f1,0.8983408828256798,82934,1.0,0.8154436057587962,0.8154436057587962,1.0,0.8983408828256798,0.5942300883471242,0.5,1.0,1.0,177489,165872,1.0,0.8154420275875374,0.8154420275875374,1.0,0.8983399251488555,0.5930653201703437,88203,89286,88203,89286,67790,67469,67790,67469,15219,15394,15219,15394,0.0,0.0,real_lendingclub,True
random_forest,fixed_probability_0.50,0.5,n/a_fixed,,82934,1.0,0.8154436057587962,0.8154436057587962,1.0,0.8983408828256798,0.5942300883471242,0.5,1.0,1.0,177489,165872,1.0,0.8154420275875374,0.8154420275875374,1.0,0.8983399251488555,0.5930653201703437,88203,89286,88203,89286,67790,67469,67790,67469,15219,15394,15219,15394,0.0,0.0,real_lendingclub,True
random_forest,validation_balanced_accuracy_max,0.8,balanced_accuracy,0.5616658277640346,82934,0.6663612028842212,0.6420768321798056,0.843297625940938,0.6891228485242799,0.7584545780034502,0.5942300883471242,0.5616658277640346,0.6891228485242799,0.5657911929962106,177489,165872,0.6619058082472716,0.641398186553487,0.8432395705938307,0.6881686246386562,0.7578528276693101,0.5930653201703437,88203,89286,58824,58657,67790,67469,46867,46214,15219,15394,8706,8598,0.009959793549564666,0.013518800643769757,real_lendingclub,True
random_forest,validation_youden_j,0.8,youden_j,0.12333165552806924,82934,0.6663612028842212,0.6420768321798056,0.843297625940938,0.6891228485242799,0.7584545780034502,0.5942300883471242,0.5616658277640346,0.6891228485242799,0.5657911929962106,177489,165872,0.6619058082472716,0.641398186553487,0.8432395705938307,0.6881686246386562,0.7578528276693101,0.5930653201703437,88203,89286,58824,58657,67790,67469,46867,46214,15219,15394,8706,8598,0.009959793549564666,0.013518800643769757,real_lendingclub,True
